what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1525733660218
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1525733663639
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1525733664879
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.401.v201504291921,"org.eclipse.jst.ws.jaxws.ui",1525733672543
started,bundle,org.eclipse.mylyn.java.ui,3.21.0.v20160701-1337,"org.eclipse.mylyn.java.ui",1525733672559
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1525733676581
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1525733678238
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525733693525
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1525733695981
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1525733698121
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525733706304
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525733708853
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525733712867
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525733720729
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1525733728545
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525733732499
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525733735157
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.saveAll",1525733745682
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525733753456
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525733754261
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525733754791
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525733755409
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525733755710
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525733756935
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525733757601
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525733759221
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525733762629
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1525733846214
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1525733849858
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.copy",1525733899570
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.paste",1525733901872
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1525733906159
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.saveAll",1525733921700
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1525733923262
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1525733927799
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1525733931484
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1525733932775
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1525733934678
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.saveAll",1525734015223
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1525734026499
started,bundle,org.eclipse.mylyn.context.ui,3.21.0.v20160701-1337,"org.eclipse.mylyn.context.ui",1525734026650
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1525734028238
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1525734029510
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525734036692
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1525734043050
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.saveAll",1525734073253
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525734266905
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525734267242
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525734267418
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525734267603
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.lineEnd",1525734274132
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1525734308545
executed,command,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.commands.DebugLast",1525734313479
started,bundle,org.eclipse.m2e.launching,1.7.0.20160603-1933,"org.eclipse.m2e.launching",1525734313809
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.toggleOverwrite",1525734316753
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.toggleOverwrite",1525734318616
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1525734324287
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.saveAll",1525734438827
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1525734445497
closed,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1525734446470
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1525734447603
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1525734450630
started,bundle,org.eclipse.wst.jsdt.js.common,1.0.0.v201608251013,"org.eclipse.wst.jsdt.js.common",1525734463705
executed,command,org.eclipse.ui.ide,3.12.2.v20161115-1450,"org.eclipse.ui.project.closeProject",1525734470372
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1525734470725
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1525734471365
error,log,,,"Problem writing to Z:/2018/JAVA/.metadata/.plugins/org.eclipse.wst.jsdt.core/libraries/system.js",1525734471550
error,log,,,"Problem writing to Z:/2018/JAVA/.metadata/.plugins/org.eclipse.wst.jsdt.core/libraries/baseBrowserLibrary.js",1525734471607
error,log,,,"Problem writing to Z:/2018/JAVA/.metadata/.plugins/org.eclipse.wst.jsdt.core/libraries/browserWindow.js",1525734471674
error,log,,,"Problem writing to Z:/2018/JAVA/.metadata/.plugins/org.eclipse.wst.jsdt.core/libraries/xhr.js",1525734471708
error,log,,,"Problem writing to Z:/2018/JAVA/.metadata/.plugins/org.eclipse.wst.jsdt.core/libraries/dom5.js",1525734471741
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1525734475164
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1525734476620
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1525734482370
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1525734483923
executed,command,org.eclipse.jdt.debug.ui,3.7.201.v20160811-0450,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1525734483947
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1525734492768
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1525734497560
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1525734942880
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1525736149704
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1525736149820
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1525736151371
closed,view,org.eclipse.ui.ide,3.12.2.v20161115-1450,"org.eclipse.ui.views.ProblemView",1525736151585
closed,view,org.eclipse.ui.console,3.6.201.v20161107-0337,"org.eclipse.ui.console.ConsoleView",1525736151623
closed,view,org.eclipse.ui.views,,"org.eclipse.ui.views.ContentOutline",1525736151757
closed,view,org.eclipse.mylyn.tasks.ui,3.21.0.v20160913-2131,"org.eclipse.mylyn.tasks.ui.views.tasks",1525736151843
closed,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1525736151891
closed,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1525736151945
closed,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1525736152145
closed,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1525736152406
stopped,bundle,org.eclipse.m2e.logback.configuration,1.7.0.20160603-1933,"org.eclipse.m2e.logback.configuration",1525736154741
stopped,bundle,org.eclipse.recommenders.apidocs.rcp,2.4.5.v20161130-1427,"org.eclipse.recommenders.apidocs.rcp",1525736154741
stopped,bundle,org.eclipse.recommenders.coordinates.rcp,2.4.5.v20161130-1427,"org.eclipse.recommenders.coordinates.rcp",1525736154742
stopped,bundle,org.eclipse.recommenders.models,2.4.5.v20161130-1427,"org.eclipse.recommenders.models",1525736154742
stopped,bundle,org.eclipse.recommenders.coordinates,2.4.5.v20161130-1427,"org.eclipse.recommenders.coordinates",1525736154742
