what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1524522138059
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1524522138059
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1524522138059
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1524522138059
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1524522138059
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1524522138059
os,sysinfo,,,"win32",1524522138059
arch,sysinfo,,,"x86_64",1524522138059
ws,sysinfo,,,"win32",1524522138059
locale,sysinfo,,,"pt_BR",1524522138059
processors,sysinfo,,,"4",1524522138059
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1524522138059
java.runtime.version,sysinfo,,,"1.8.0_102-b14",1524522138059
java.specification.name,sysinfo,,,"Java Platform API Specification",1524522138059
java.specification.vendor,sysinfo,,,"Oracle Corporation",1524522138059
java.specification.version,sysinfo,,,"1.8",1524522138059
java.vendor,sysinfo,,,"Oracle Corporation",1524522138059
java.version,sysinfo,,,"1.8.0_102",1524522138059
java.vm.info,sysinfo,,,"mixed mode",1524522138059
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1524522138059
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1524522138059
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1524522138059
java.vm.specification.version,sysinfo,,,"1.8",1524522138059
java.vm.vendor,sysinfo,,,"Oracle Corporation",1524522138059
java.vm.version,sysinfo,,,"25.102-b14",1524522138059
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1524522138137
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1524522138169
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1524522138184
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1524522138215
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1524522138231
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1524522138247
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1524522138450
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1524522138481
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1524522138512
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1524522139090
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1524522139137
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1524522139169
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1524522139169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524522139758
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1524522140290
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1524522140352
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1524522140430
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1524522140852
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1524522140883
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1524522141712
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1524522141743
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1524522142134
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1524522142196
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524522299126
