what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.VariableView",1523917447807
executed,command,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.commands.StepOver",1523917458592
executed,command,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.commands.StepOver",1523917463306
executed,command,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.commands.StepOver",1523917482690
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.302.v201304240928,"org.eclipse.wst.xsl.debug.ui",1523917485543
executed,command,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.commands.StepOver",1523917486490
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1523917497436
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1523917506195
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1523917508576
activated,perspective,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.JavaPerspective",1523917510854
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1523917517826
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1523917539331
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1523917546036
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1523917546309
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.undo",1523917547987
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1523917550687
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1523917554995
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1523917557206
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1523917559025
